SMT Query ID ,Position                                                        ,Function                                                                        ,VC Details                                                                                                                      ,Validity ,Solver ,Solving Time (sec)
           0 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:73:7:        ,+                                                                               ,"precond. (call insertStrictlySorted[B](thiss.toList,...)"                                                                      ,valid    ,z3     ,               0.1
           1 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:75:5:        ,+                                                                               ,body assertion: Inlined precondition of lemmaContainsTupThenGetReturnValue                                                      ,valid    ,z3     ,               0.1
           2 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:75:5:        ,+                                                                               ,precond. (call lemmaContainsTupThenGetReturnValue[B]...)                                                                        ,valid    ,z3     ,               0.1
           3 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:80:5:        ,+                                                                               ,class invariant                                                                                                                 ,valid    ,z3     ,               0.1
           4 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:80:5:        ,+                                                                               ,postcondition                                                                                                                   ,valid    ,z3     ,               0.1
             ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:90:5:        ,++                                                                              ,body assertion: match exhaustiveness                                                                                            ,trivial  ,       ,               0.0
           5 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:90:5:        ,++                                                                              ,non-negative measure                                                                                                            ,valid    ,z3     ,               0.1
           6 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:92:36:       ,++                                                                              ,measure decreases                                                                                                               ,valid    ,z3     ,               0.1
           7 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:95:7:        ,-                                                                               ,postcondition                                                                                                                   ,valid    ,z3     ,               0.1
           8 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:96:5:        ,-                                                                               ,class invariant                                                                                                                 ,valid    ,cvc5   ,               0.1
           9 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:96:17:       ,-                                                                               ,"precond. (call removeStrictlySorted[B](thiss.toList,...)"                                                                      ,valid    ,z3     ,               0.1
             ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:101:5:       ,--                                                                              ,body assertion: match exhaustiveness                                                                                            ,trivial  ,       ,               0.0
          10 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:101:5:       ,--                                                                              ,non-negative measure                                                                                                            ,valid    ,z3     ,               0.1
          11 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:103:31:      ,--                                                                              ,measure decreases                                                                                                               ,valid    ,z3     ,               0.1
          12 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:873:12:      ,addApplyDifferent                                                               ,body assertion                                                                                                                  ,valid    ,z3     ,               0.1
          13 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:873:12:      ,addApplyDifferent                                                               ,"precond. (call containsKey[B](lm.toList, a0))"                                                                                 ,valid    ,z3     ,               0.1
          14 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:874:5:       ,addApplyDifferent                                                               ,body assertion: Inlined precondition of lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues                                    ,valid    ,z3     ,               0.1
          15 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:874:5:       ,addApplyDifferent                                                               ,precond. (call lemmaInsertStrictlySortedDoesNotModif...)                                                                        ,valid    ,z3     ,               0.1
